secuencia,grupo,sub_grupo,presta,corr,titulo,anes1,anesben1,anes2,anesben2,anes3,anesben3,equipo,pab,NOMBRE_PRESTACIÓN,total1,bene1,total2,bene2,total3,bene3,valcir11,valcir12,valcir13,valcir21,valcir22,valcir23,valcir31,valcir32,valcir33,valcir41,valcir42,valcir43,CODIGO_PRESTACIÓN
31,1,1,1,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICINA GENERAL                                   ,11000,4400,11780,5180,13780,7180,0,0,0,0,0,0,0,0,0,0,0,0,101001
32,1,1,201,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN DERMATOLOGIA             ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101201
33,1,1,202,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN GERIATRIA                ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101202
34,1,1,203,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEUROCIRUGIA             ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101203
35,1,1,204,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN OFTALMOLOGIA             ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101204
36,1,1,205,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN OTORRINOLARINGOLOGIA     ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101205
37,1,1,206,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN REUMATOLOGIA             ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101206
38,1,1,207,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ENDOCRINOLOGIA ADULTO    ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101207
39,1,1,208,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN ENDOCRINOLOGIA PEDIATRICA,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101208
40,1,1,209,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEUROLOGIA ADULTOS       ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101209
41,1,1,210,0,5,0,0,0,0,0,0,0,0,CONSULTA MEDICA DE ESPECIALIDAD EN NEUROLOGIA PEDIATRICA    ,15550,6220,20220,10890,24880,15550,0,0,0,0,0,0,0,0,0,0,0,0,101210
